analysis	reference	alternative	estimate	lower_confidence_limit	upper_confidence_limit
1	2012	2017	-0.2759	-0.4204	-0.1315
1	2012	2018	-0.2996	-0.4616	-0.1376
1	2012	2019	-0.1994	-0.345	-0.0538
1	2012	2020	-0.1045	-0.2437	0.0347
1	2012	2021	-0.0281	-0.1669	0.1108
1	2012	2022	-0.1183	-0.2775	0.0408
1	2013	2014	-0.107	-0.2264	0.0124
1	2013	2015	-0.14	-0.276	-0.004
1	2013	2016	-0.1482	-0.2726	-0.0238
1	2013	2017	-0.1666	-0.2954	-0.0378
1	2013	2018	-0.1903	-0.3355	-0.0451
1	2013	2019	-0.0901	-0.219	0.0388
1	2013	2020	0.0048	-0.1249	0.1345
1	2013	2021	0.0812	-0.0552	0.2176
1	2013	2022	-0.009	-0.1506	0.1326
1	2014	2015	-0.033	-0.1557	0.0897
1	2014	2016	-0.0412	-0.1734	0.091
1	2014	2017	-0.0596	-0.1922	0.0729
1	2014	2018	-0.0833	-0.2295	0.0629
1	2014	2019	0.0169	-0.1232	0.157
1	2014	2020	0.1118	-0.0277	0.2513
1	2014	2021	0.1882	0.0331	0.3433
1	2014	2022	0.098	-0.0543	0.2502
1	2015	2016	-0.0082	-0.1288	0.1124
1	2015	2017	-0.0266	-0.1624	0.1091
1	2015	2018	-0.0503	-0.1985	0.0979
1	2015	2019	0.0499	-0.093	0.1928
1	2015	2020	0.1448	-6e-04	0.2902
1	2015	2021	0.2212	0.0659	0.3764
1	2015	2022	0.131	-0.0239	0.2858
1	2016	2017	-0.0184	-0.1314	0.0945
1	2016	2018	-0.0421	-0.1811	0.0969
1	2016	2019	0.0581	-0.069	0.1851
1	2016	2020	0.153	0.0215	0.2846
1	2016	2021	0.2294	0.0887	0.3701
1	2016	2022	0.1392	-0.0017	0.28
1	2017	2018	-0.0237	-0.1457	0.0983
1	2017	2019	0.0765	-0.0485	0.2015
1	2017	2020	0.1715	0.0463	0.2966
1	2017	2021	0.2478	0.109	0.3866
1	2017	2022	0.1576	0.0137	0.3015
1	2018	2019	0.1002	-0.0227	0.2231
1	2018	2020	0.1951	0.0513	0.339
1	2018	2021	0.2715	0.1135	0.4295
1	2018	2022	0.1813	0.0295	0.3331
1	2019	2020	0.095	-0.0199	0.2098
1	2019	2021	0.1713	0.0363	0.3064
1	2019	2022	0.0811	-0.0548	0.217
1	2020	2021	0.0764	-0.0391	0.1919
1	2020	2022	-0.0139	-0.1546	0.1268
1	2021	2022	-0.0903	-0.2223	0.0418
2	2007	2010	0.1719	-0.0018	0.3456
2	2007	2013	0.1536	-0.035	0.3422
2	2007	2016	0.2624	0.0673	0.4575
2	2007	2019	0.5025	0.3018	0.7032
2	2007	2022	0.6759	0.3904	0.9614
2	2010	2013	-0.0183	-0.183	0.1463
2	2010	2016	0.0905	-0.0893	0.2704
2	2010	2019	0.3306	0.1476	0.5136
2	2010	2022	0.504	0.2345	0.7735
2	2013	2016	0.1089	-0.0588	0.2765
2	2013	2019	0.3489	0.1672	0.5307
2	2013	2022	0.5223	0.2483	0.7963
2	2016	2019	0.2401	0.0754	0.4047
2	2016	2022	0.4135	0.1463	0.6807
2	2019	2022	0.1734	-0.0633	0.4101
3	2007	2008	0.0852	-0.0595	0.23
3	2007	2009	-0.0263	-0.2092	0.1566
3	2007	2010	-0.1141	-0.3136	0.0854
3	2007	2011	-0.2439	-0.4614	-0.0264
3	2007	2012	-0.2678	-0.5047	-0.031
3	2007	2013	-0.283	-0.5248	-0.0412
3	2007	2014	-0.2814	-0.5333	-0.0296
3	2007	2015	-0.3589	-0.62	-0.0979
3	2007	2016	-0.4525	-0.714	-0.191
3	2007	2017	-0.4986	-0.7659	-0.2314
3	2007	2018	-0.4686	-0.7434	-0.1937
3	2007	2019	-0.5378	-0.8154	-0.2602
3	2007	2020	-0.4864	-0.7709	-0.2019
3	2007	2021	-0.5453	-0.8477	-0.2429
3	2007	2022	-0.5943	-0.9195	-0.2691
3	2008	2009	-0.1115	-0.2516	0.0285
3	2008	2010	-0.1993	-0.3703	-0.0284
3	2008	2011	-0.3291	-0.5212	-0.137
3	2008	2012	-0.3531	-0.5691	-0.137
3	2008	2013	-0.3682	-0.591	-0.1455
3	2008	2014	-0.3666	-0.5944	-0.1388
3	2008	2015	-0.4442	-0.6861	-0.2022
3	2008	2016	-0.5377	-0.786	-0.2895
3	2008	2017	-0.5838	-0.8374	-0.3302
3	2008	2018	-0.5538	-0.8114	-0.2962
3	2008	2019	-0.623	-0.8899	-0.3561
3	2008	2020	-0.5717	-0.8371	-0.3062
3	2008	2021	-0.6305	-0.9179	-0.3431
3	2008	2022	-0.6795	-0.9939	-0.3651
3	2009	2010	-0.0878	-0.2285	0.0529
3	2009	2011	-0.2176	-0.394	-0.0412
3	2009	2012	-0.2415	-0.4446	-0.0385
3	2009	2013	-0.2567	-0.4702	-0.0432
3	2009	2014	-0.2551	-0.4786	-0.0316
3	2009	2015	-0.3327	-0.5683	-0.097
3	2009	2016	-0.4262	-0.6676	-0.1848
3	2009	2017	-0.4723	-0.7201	-0.2245
3	2009	2018	-0.4423	-0.6954	-0.1891
3	2009	2019	-0.5115	-0.7725	-0.2505
3	2009	2020	-0.4601	-0.7244	-0.1959
3	2009	2021	-0.519	-0.8031	-0.2349
3	2009	2022	-0.568	-0.8782	-0.2577
3	2010	2011	-0.1298	-0.2699	0.0103
3	2010	2012	-0.1537	-0.3344	0.0269
3	2010	2013	-0.1689	-0.3641	0.0263
3	2010	2014	-0.1673	-0.3781	0.0435
3	2010	2015	-0.2449	-0.4701	-0.0196
3	2010	2016	-0.3384	-0.5684	-0.1084
3	2010	2017	-0.3845	-0.6228	-0.1462
3	2010	2018	-0.3545	-0.6005	-0.1084
3	2010	2019	-0.4237	-0.6757	-0.1717
3	2010	2020	-0.3724	-0.63	-0.1147
3	2010	2021	-0.4312	-0.7091	-0.1533
3	2010	2022	-0.4802	-0.7836	-0.1768
3	2011	2012	-0.0239	-0.1693	0.1215
3	2011	2013	-0.0391	-0.2154	0.1372
3	2011	2014	-0.0375	-0.2364	0.1614
3	2011	2015	-0.1151	-0.3315	0.1014
3	2011	2016	-0.2086	-0.4306	0.0134
3	2011	2017	-0.2547	-0.4844	-0.025
3	2011	2018	-0.2247	-0.466	0.0167
3	2011	2019	-0.2939	-0.5404	-0.0473
3	2011	2020	-0.2426	-0.497	0.0119
3	2011	2021	-0.3014	-0.5762	-0.0265
3	2011	2022	-0.3504	-0.6508	-0.05
3	2012	2013	-0.0152	-0.1626	0.1322
3	2012	2014	-0.0136	-0.2006	0.1734
3	2012	2015	-0.0911	-0.301	0.1188
3	2012	2016	-0.1847	-0.4045	0.0352
3	2012	2017	-0.2308	-0.4619	3e-04
3	2012	2018	-0.2007	-0.443	0.0415
3	2012	2019	-0.27	-0.519	-0.0209
3	2012	2020	-0.2186	-0.4761	0.0389
3	2012	2021	-0.2774	-0.555	1e-04
3	2012	2022	-0.3265	-0.6295	-0.0235
3	2013	2014	0.0016	-0.1466	0.1498
3	2013	2015	-0.0759	-0.2626	0.1107
3	2013	2016	-0.1695	-0.3725	0.0335
3	2013	2017	-0.2156	-0.4349	0.0037
3	2013	2018	-0.1855	-0.4175	0.0464
3	2013	2019	-0.2548	-0.4951	-0.0145
3	2013	2020	-0.2034	-0.4525	0.0457
3	2013	2021	-0.2623	-0.5328	0.0083
3	2013	2022	-0.3113	-0.6081	-0.0144
3	2014	2015	-0.0775	-0.2285	0.0734
3	2014	2016	-0.1711	-0.3589	0.0168
3	2014	2017	-0.2172	-0.4271	-0.0074
3	2014	2018	-0.1872	-0.4102	0.0359
3	2014	2019	-0.2564	-0.4942	-0.0185
3	2014	2020	-0.205	-0.4468	0.0368
3	2014	2021	-0.2639	-0.5302	0.0025
3	2014	2022	-0.3129	-0.6082	-0.0176
3	2015	2016	-0.0935	-0.2463	0.0592
3	2015	2017	-0.1397	-0.332	0.0526
3	2015	2018	-0.1096	-0.3225	0.1032
3	2015	2019	-0.1788	-0.4084	0.0508
3	2015	2020	-0.1275	-0.3674	0.1124
3	2015	2021	-0.1863	-0.4498	0.0771
3	2015	2022	-0.2353	-0.5274	0.0567
3	2016	2017	-0.0461	-0.196	0.1037
3	2016	2018	-0.0161	-0.2067	0.1746
3	2016	2019	-0.0853	-0.2938	0.1232
3	2016	2020	-0.034	-0.2628	0.1949
3	2016	2021	-0.0928	-0.3459	0.1603
3	2016	2022	-0.1418	-0.4229	0.1393
3	2017	2018	0.0301	-0.1244	0.1845
3	2017	2019	-0.0392	-0.227	0.1487
3	2017	2020	0.0122	-0.2024	0.2268
3	2017	2021	-0.0467	-0.2893	0.196
3	2017	2022	-0.0957	-0.3689	0.1775
3	2018	2019	-0.0692	-0.2246	0.0862
3	2018	2020	-0.0179	-0.2107	0.1749
3	2018	2021	-0.0767	-0.3039	0.1505
3	2018	2022	-0.1257	-0.389	0.1375
3	2019	2020	0.0513	-0.1082	0.2108
3	2019	2021	-0.0075	-0.213	0.198
3	2019	2022	-0.0565	-0.3006	0.1876
3	2020	2021	-0.0588	-0.2195	0.1019
3	2020	2022	-0.1078	-0.3268	0.1111
3	2021	2022	-0.049	-0.2184	0.1203
4	2007	2010	0.5457	0.2342	0.8573
4	2007	2013	0.9977	0.6001	1.3953
4	2007	2016	1.1184	0.7252	1.5116
4	2007	2019	1.2094	0.7979	1.6208
4	2007	2022	1.0512	0.5402	1.5623
4	2010	2013	0.452	0.1424	0.7617
4	2010	2016	0.5727	0.2446	0.9008
4	2010	2019	0.6637	0.3131	1.0143
4	2010	2022	0.5055	0.0131	0.998
4	2013	2016	0.1207	-0.1795	0.4209
4	2013	2019	0.2117	-0.1394	0.5628
4	2013	2022	0.0535	-0.4541	0.561
4	2016	2019	0.091	-0.2145	0.3964
4	2016	2022	-0.0672	-0.5369	0.4024
4	2019	2022	-0.1582	-0.5731	0.2566
5	2007	2008	-0.0111	-0.3003	0.2781
5	2007	2009	-0.0109	-0.3896	0.3678
5	2007	2010	0.1429	-0.2724	0.5582
5	2007	2011	0.2442	-0.2147	0.7032
5	2007	2012	0.1951	-0.2611	0.6512
5	2007	2013	0.159	-0.3006	0.6187
5	2007	2014	0.1241	-0.3394	0.5876
5	2007	2015	0.1617	-0.3131	0.6365
5	2007	2016	0.0176	-0.4481	0.4832
5	2007	2017	-0.07	-0.5365	0.3966
5	2007	2018	-0.0568	-0.5255	0.4119
5	2007	2019	-0.0614	-0.5301	0.4074
5	2007	2020	-0.0135	-0.4937	0.4667
5	2007	2021	-0.0143	-0.4962	0.4675
5	2007	2022	-0.1002	-0.6314	0.431
5	2008	2009	3e-04	-0.2769	0.2775
5	2008	2010	0.1542	-0.198	0.5064
5	2008	2011	0.2557	-0.1617	0.6732
5	2008	2012	0.2064	-0.2053	0.618
5	2008	2013	0.1703	-0.2455	0.586
5	2008	2014	0.1353	-0.2837	0.5544
5	2008	2015	0.1729	-0.2648	0.6107
5	2008	2016	0.0288	-0.3917	0.4492
5	2008	2017	-0.0587	-0.4769	0.3595
5	2008	2018	-0.0456	-0.4688	0.3776
5	2008	2019	-0.0502	-0.4739	0.3736
5	2008	2020	-0.0023	-0.4419	0.4374
5	2008	2021	-0.0031	-0.4448	0.4387
5	2008	2022	-0.089	-0.5794	0.4014
5	2009	2010	0.1543	-0.1494	0.4579
5	2009	2011	0.2561	-0.1525	0.6646
5	2009	2012	0.2063	-0.1976	0.6102
5	2009	2013	0.1701	-0.2411	0.5814
5	2009	2014	0.1352	-0.2814	0.5517
5	2009	2015	0.1728	-0.2716	0.6172
5	2009	2016	0.0286	-0.3892	0.4463
5	2009	2017	-0.0589	-0.4705	0.3527
5	2009	2018	-0.0458	-0.4665	0.3749
5	2009	2019	-0.0503	-0.4724	0.3717
5	2009	2020	-0.0025	-0.4457	0.4408
5	2009	2021	-0.0033	-0.4483	0.4418
5	2009	2022	-0.0892	-0.5744	0.3961
5	2010	2011	0.1011	-0.1766	0.3789
5	2010	2012	0.0522	-0.2812	0.3855
5	2010	2013	0.0162	-0.3483	0.3807
5	2010	2014	-0.0187	-0.402	0.3647
5	2010	2015	0.0189	-0.3679	0.4056
5	2010	2016	-0.1252	-0.5291	0.2787
5	2010	2017	-0.2128	-0.6324	0.2068
5	2010	2018	-0.1996	-0.6146	0.2154
5	2010	2019	-0.2041	-0.6203	0.2121
5	2010	2020	-0.1562	-0.5729	0.2605
5	2010	2021	-0.157	-0.5753	0.2613
5	2010	2022	-0.243	-0.7352	0.2492
5	2011	2012	-0.0488	-0.322	0.2244
5	2011	2013	-0.0848	-0.4264	0.2567
5	2011	2014	-0.1198	-0.496	0.2565
5	2011	2015	-0.0822	-0.4517	0.2874
5	2011	2016	-0.2265	-0.6444	0.1915
5	2011	2017	-0.3141	-0.7681	0.1398
5	2011	2018	-0.3008	-0.7426	0.141
5	2011	2019	-0.3053	-0.7496	0.139
5	2011	2020	-0.2573	-0.6854	0.1708
5	2011	2021	-0.2581	-0.6881	0.172
5	2011	2022	-0.3442	-0.8681	0.1798
5	2012	2013	-0.0359	-0.3044	0.2326
5	2012	2014	-0.0708	-0.4056	0.264
5	2012	2015	-0.0333	-0.3901	0.3235
5	2012	2016	-0.1774	-0.568	0.2132
5	2012	2017	-0.2651	-0.6826	0.1524
5	2012	2018	-0.2518	-0.6651	0.1615
5	2012	2019	-0.2563	-0.6736	0.1609
5	2012	2020	-0.2084	-0.6225	0.2057
5	2012	2021	-0.2092	-0.6255	0.2072
5	2012	2022	-0.2952	-0.7917	0.2013
5	2013	2014	-0.0348	-0.3038	0.2341
5	2013	2015	0.0026	-0.3307	0.3359
5	2013	2016	-0.1415	-0.5121	0.2291
5	2013	2017	-0.2292	-0.627	0.1687
5	2013	2018	-0.2159	-0.6169	0.1851
5	2013	2019	-0.2204	-0.6267	0.1859
5	2013	2020	-0.1724	-0.5833	0.2384
5	2013	2021	-0.1732	-0.587	0.2405
5	2013	2022	-0.2592	-0.7455	0.227
5	2014	2015	0.0374	-0.2414	0.3162
5	2014	2016	-0.1066	-0.4467	0.2335
5	2014	2017	-0.1943	-0.5709	0.1824
5	2014	2018	-0.181	-0.5701	0.208
5	2014	2019	-0.1855	-0.5833	0.2123
5	2014	2020	-0.1376	-0.5454	0.2702
5	2014	2021	-0.1384	-0.5503	0.2735
5	2014	2022	-0.2244	-0.7048	0.256
5	2015	2016	-0.1444	-0.4363	0.1476
5	2015	2017	-0.2324	-0.6045	0.1397
5	2015	2018	-0.2188	-0.6024	0.1648
5	2015	2019	-0.2233	-0.6213	0.1748
5	2015	2020	-0.1752	-0.5737	0.2233
5	2015	2021	-0.176	-0.5806	0.2287
5	2015	2022	-0.2621	-0.755	0.2308
5	2016	2017	-0.0876	-0.3608	0.1856
5	2016	2018	-0.0744	-0.4113	0.2624
5	2016	2019	-0.079	-0.446	0.288
5	2016	2020	-0.0311	-0.4251	0.3629
5	2016	2021	-0.0319	-0.4358	0.372
5	2016	2022	-0.1178	-0.5835	0.3479
5	2017	2018	0.013	-0.2586	0.2846
5	2017	2019	0.0085	-0.3264	0.3434
5	2017	2020	0.0564	-0.3263	0.4392
5	2017	2021	0.0557	-0.3438	0.4551
5	2017	2022	-0.0303	-0.4828	0.4222
5	2018	2019	-0.0046	-0.2735	0.2644
5	2018	2020	0.0433	-0.3009	0.3874
5	2018	2021	0.0425	-0.3325	0.4175
5	2018	2022	-0.0434	-0.487	0.4002
5	2019	2020	0.0478	-0.2287	0.3243
5	2019	2021	0.047	-0.2935	0.3876
5	2019	2022	-0.0388	-0.4589	0.3813
5	2020	2021	-8e-04	-0.2723	0.2707
5	2020	2022	-0.0866	-0.4793	0.306
5	2021	2022	-0.0859	-0.3944	0.2227
6	2007	2010	-0.074	-0.1429	-0.0051
6	2007	2013	-0.0477	-0.1217	0.0264
6	2007	2016	0.1546	0.0865	0.2226
6	2007	2019	0.2244	0.1559	0.293
6	2007	2022	0.4166	0.3156	0.5176
6	2010	2013	0.0263	-0.0475	0.1002
6	2010	2016	0.2286	0.1577	0.2994
6	2010	2019	0.2985	0.2268	0.3701
6	2010	2022	0.4906	0.3878	0.5935
6	2013	2016	0.2022	0.1307	0.2737
6	2013	2019	0.2721	0.1988	0.3455
6	2013	2022	0.4643	0.3596	0.5689
6	2016	2019	0.0699	0.0062	0.1336
6	2016	2022	0.262	0.1643	0.3598
6	2019	2022	0.1922	0.0978	0.2865
7	2007	2008	-0.0031	-0.1139	0.1076
7	2007	2009	-0.0145	-0.1466	0.1175
7	2007	2010	0.0432	-0.0899	0.1763
7	2007	2011	0.1285	-0.0141	0.2712
7	2007	2012	0.1058	-0.0398	0.2513
7	2007	2013	0.0374	-0.1043	0.1791
7	2007	2014	-0.0318	-0.1772	0.1137
7	2007	2015	-0.061	-0.2091	0.0871
7	2007	2016	-0.1153	-0.2638	0.0332
7	2007	2017	-0.0777	-0.2234	0.068
7	2007	2018	-0.0019	-0.1468	0.1429
7	2007	2019	-0.0334	-0.1779	0.1111
7	2007	2020	0.0018	-0.147	0.1505
7	2007	2021	0.0072	-0.1392	0.1537
7	2007	2022	-0.0302	-0.1936	0.1333
7	2008	2009	-0.0114	-0.1198	0.097
7	2008	2010	0.0463	-0.0756	0.1682
7	2008	2011	0.1317	-4e-04	0.2638
7	2008	2012	0.1089	-0.0281	0.2459
7	2008	2013	0.0405	-0.0945	0.1755
7	2008	2014	-0.0286	-0.1652	0.1079
7	2008	2015	-0.0579	-0.1981	0.0823
7	2008	2016	-0.1122	-0.2541	0.0297
7	2008	2017	-0.0746	-0.2117	0.0625
7	2008	2018	0.0012	-0.1363	0.1387
7	2008	2019	-0.0303	-0.1685	0.1079
7	2008	2020	0.0049	-0.1359	0.1456
7	2008	2021	0.0103	-0.1288	0.1495
7	2008	2022	-0.0271	-0.1856	0.1315
7	2009	2010	0.0577	-0.0495	0.1649
7	2009	2011	0.1431	0.0095	0.2767
7	2009	2012	0.1203	-0.0169	0.2576
7	2009	2013	0.0519	-0.0834	0.1873
7	2009	2014	-0.0172	-0.1539	0.1195
7	2009	2015	-0.0465	-0.1853	0.0923
7	2009	2016	-0.1008	-0.2397	0.0381
7	2009	2017	-0.0632	-0.2002	0.0739
7	2009	2018	0.0126	-0.1266	0.1519
7	2009	2019	-0.0189	-0.1568	0.1191
7	2009	2020	0.0163	-0.1269	0.1595
7	2009	2021	0.0218	-0.118	0.1616
7	2009	2022	-0.0156	-0.1732	0.1419
7	2010	2011	0.0854	-0.0253	0.1961
7	2010	2012	0.0626	-0.0638	0.189
7	2010	2013	-0.0058	-0.1335	0.1219
7	2010	2014	-0.0749	-0.2087	0.0588
7	2010	2015	-0.1042	-0.2412	0.0328
7	2010	2016	-0.1585	-0.297	-0.0199
7	2010	2017	-0.1209	-0.2562	0.0144
7	2010	2018	-0.0451	-0.179	0.0888
7	2010	2019	-0.0766	-0.2108	0.0576
7	2010	2020	-0.0414	-0.1798	0.0969
7	2010	2021	-0.036	-0.1715	0.0996
7	2010	2022	-0.0734	-0.2279	0.0812
7	2011	2012	-0.0228	-0.1291	0.0835
7	2011	2013	-0.0911	-0.2179	0.0356
7	2011	2014	-0.1603	-0.2987	-0.0219
7	2011	2015	-0.1896	-0.3327	-0.0464
7	2011	2016	-0.2439	-0.3964	-0.0913
7	2011	2017	-0.2063	-0.3491	-0.0634
7	2011	2018	-0.1305	-0.2634	0.0025
7	2011	2019	-0.162	-0.3042	-0.0198
7	2011	2020	-0.1268	-0.2663	0.0128
7	2011	2021	-0.1213	-0.2589	0.0162
7	2011	2022	-0.1587	-0.3222	0.0048
7	2012	2013	-0.0684	-0.1785	0.0417
7	2012	2014	-0.1375	-0.2706	-0.0045
7	2012	2015	-0.1668	-0.3061	-0.0275
7	2012	2016	-0.2211	-0.3711	-0.0711
7	2012	2017	-0.1835	-0.3267	-0.0403
7	2012	2018	-0.1077	-0.2415	0.0261
7	2012	2019	-0.1392	-0.2815	0.0031
7	2012	2020	-0.104	-0.2458	0.0377
7	2012	2021	-0.0986	-0.2365	0.0394
7	2012	2022	-0.136	-0.2989	0.027
7	2013	2014	-0.0692	-0.1795	0.0412
7	2013	2015	-0.0984	-0.228	0.0312
7	2013	2016	-0.1527	-0.2911	-0.0143
7	2013	2017	-0.1151	-0.2523	0.022
7	2013	2018	-0.0393	-0.175	0.0963
7	2013	2019	-0.0708	-0.2085	0.0669
7	2013	2020	-0.0356	-0.1768	0.1055
7	2013	2021	-0.0302	-0.1686	0.1082
7	2013	2022	-0.0676	-0.2256	0.0904
7	2014	2015	-0.0293	-0.14	0.0815
7	2014	2016	-0.0836	-0.2134	0.0463
7	2014	2017	-0.046	-0.179	0.0871
7	2014	2018	0.0298	-0.1095	0.1691
7	2014	2019	-0.0017	-0.141	0.1377
7	2014	2020	0.0335	-0.1101	0.1771
7	2014	2021	0.039	-0.1032	0.1811
7	2014	2022	0.0016	-0.1585	0.1616
7	2015	2016	-0.0543	-0.1675	0.0589
7	2015	2017	-0.0167	-0.1464	0.113
7	2015	2018	0.0591	-0.0781	0.1963
7	2015	2019	0.0276	-0.1123	0.1675
7	2015	2020	0.0628	-0.0825	0.2081
7	2015	2021	0.0682	-0.074	0.2104
7	2015	2022	0.0308	-0.1301	0.1918
7	2016	2017	0.0376	-0.0736	0.1489
7	2016	2018	0.1134	-0.0245	0.2513
7	2016	2019	0.0819	-0.0552	0.219
7	2016	2020	0.1171	-0.0307	0.2648
7	2016	2021	0.1225	-0.0238	0.2689
7	2016	2022	0.0851	-0.0741	0.2444
7	2017	2018	0.0758	-0.0379	0.1895
7	2017	2019	0.0443	-0.0845	0.1731
7	2017	2020	0.0795	-0.0589	0.2179
7	2017	2021	0.0849	-0.054	0.2238
7	2017	2022	0.0475	-0.1101	0.2052
7	2018	2019	-0.0315	-0.1433	0.0803
7	2018	2020	0.0037	-0.1245	0.1318
7	2018	2021	0.0092	-0.12	0.1383
7	2018	2022	-0.0282	-0.1846	0.1281
7	2019	2020	0.0352	-0.0768	0.1471
7	2019	2021	0.0407	-0.0869	0.1682
7	2019	2022	0.0032	-0.1469	0.1534
7	2020	2021	0.0055	-0.105	0.1159
7	2020	2022	-0.0319	-0.1796	0.1157
7	2021	2022	-0.0374	-0.1582	0.0834
8	2007	2008	-0.2026	-0.4338	0.0286
8	2007	2009	-0.3799	-0.632	-0.1278
8	2007	2010	-0.3969	-0.5879	-0.2059
8	2007	2011	-0.5862	-0.8693	-0.3032
8	2007	2012	-0.3168	-0.5674	-0.0662
8	2007	2013	-0.3921	-0.6206	-0.1635
8	2007	2014	-0.505	-0.7595	-0.2505
8	2007	2015	-0.8137	-1.0809	-0.5465
8	2007	2016	-1.0064	-1.2672	-0.7456
8	2007	2017	-0.7045	-0.9571	-0.4519
8	2007	2018	-0.3816	-0.6324	-0.1307
8	2007	2019	-0.2501	-0.4659	-0.0343
8	2007	2020	-0.5085	-0.7781	-0.2389
8	2007	2021	0.0243	-0.2172	0.2659
8	2007	2022	-1.1461	-1.4675	-0.8247
8	2008	2009	-0.1773	-0.4314	0.0769
8	2008	2010	-0.1943	-0.4335	0.0449
8	2008	2011	-0.3836	-0.6604	-0.1068
8	2008	2012	-0.1142	-0.3727	0.1443
8	2008	2013	-0.1895	-0.4488	0.0698
8	2008	2014	-0.3024	-0.5409	-0.0639
8	2008	2015	-0.6111	-0.8871	-0.3351
8	2008	2016	-0.8038	-1.0904	-0.5172
8	2008	2017	-0.5019	-0.739	-0.2648
8	2008	2018	-0.179	-0.4404	0.0825
8	2008	2019	-0.0475	-0.3037	0.2087
8	2008	2020	-0.3059	-0.5647	-0.047
8	2008	2021	0.2269	-0.0189	0.4728
8	2008	2022	-0.9435	-1.29	-0.597
8	2009	2010	-0.0171	-0.2627	0.2286
8	2009	2011	-0.2064	-0.5139	0.1011
8	2009	2012	0.0631	-0.191	0.3171
8	2009	2013	-0.0122	-0.2774	0.253
8	2009	2014	-0.1252	-0.4026	0.1522
8	2009	2015	-0.4338	-0.7081	-0.1596
8	2009	2016	-0.6266	-0.9213	-0.3318
8	2009	2017	-0.3247	-0.6011	-0.0482
8	2009	2018	-0.0017	-0.2586	0.2552
8	2009	2019	0.1298	-0.1394	0.399
8	2009	2020	-0.1286	-0.4235	0.1663
8	2009	2021	0.4042	0.1564	0.652
